Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 49,522,309, val samples: 2,494,517
model: 1.81M params
step  18200 | lr 2.95e-04 | loss 0.9490 pol 0.9371 rf 0.0595 acc 68.6% | 14 it/s
step  18300 | lr 2.95e-04 | loss 0.9566 pol 0.9451 rf 0.0577 acc 68.2% | 14 it/s
step  18400 | lr 2.95e-04 | loss 0.9466 pol 0.9343 rf 0.0614 acc 68.6% | 14 it/s
step  18500 | lr 2.95e-04 | loss 0.9182 pol 0.9043 rf 0.0692 acc 69.9% | 14 it/s
step  18600 | lr 2.95e-04 | loss 0.9175 pol 0.9035 rf 0.0702 acc 69.9% | 14 it/s
step  18700 | lr 2.95e-04 | loss 0.9007 pol 0.8868 rf 0.0693 acc 70.6% | 14 it/s
step  18800 | lr 2.95e-04 | loss 0.9188 pol 0.9048 rf 0.0696 acc 69.8% | 14 it/s
step  18900 | lr 2.95e-04 | loss 0.9384 pol 0.9245 rf 0.0694 acc 68.5% | 14 it/s
step  19000 | lr 2.95e-04 | loss 0.9380 pol 0.9251 rf 0.0646 acc 68.1% | 14 it/s
step  19100 | lr 2.95e-04 | loss 0.9508 pol 0.9367 rf 0.0703 acc 67.6% | 14 it/s
step  19200 | lr 2.94e-04 | loss 0.9665 pol 0.9530 rf 0.0676 acc 67.8% | 14 it/s
step  19300 | lr 2.94e-04 | loss 0.9460 pol 0.9328 rf 0.0659 acc 69.2% | 14 it/s
step  19400 | lr 2.94e-04 | loss 0.9487 pol 0.9372 rf 0.0575 acc 68.7% | 14 it/s
step  19500 | lr 2.94e-04 | loss 0.9341 pol 0.9250 rf 0.0455 acc 68.0% | 14 it/s
step  19600 | lr 2.94e-04 | loss 0.9315 pol 0.9206 rf 0.0545 acc 68.4% | 14 it/s
step  19700 | lr 2.94e-04 | loss 0.9303 pol 0.9175 rf 0.0638 acc 68.6% | 14 it/s
step  19800 | lr 2.94e-04 | loss 0.9349 pol 0.9231 rf 0.0593 acc 68.7% | 14 it/s
step  19900 | lr 2.94e-04 | loss 0.9340 pol 0.9213 rf 0.0633 acc 68.9% | 14 it/s
step  20000 | lr 2.94e-04 | loss 0.9334 pol 0.9207 rf 0.0635 acc 68.7% | 14 it/s
[eval] step 20000 val_loss 1.0230 val_acc 69.1%
step  20100 | lr 2.94e-04 | loss 0.9370 pol 0.9238 rf 0.0660 acc 68.2% | 14 it/s
step  20200 | lr 2.94e-04 | loss 0.9252 pol 0.9120 rf 0.0662 acc 69.2% | 14 it/s
step  20300 | lr 2.94e-04 | loss 0.9088 pol 0.8955 rf 0.0666 acc 69.8% | 14 it/s
