Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 35,609,201, val samples: 2,090,714  (filter num_players=6, suit_permute=True)
model: 1.81M params
step  13500 | lr 2.93e-04 | loss 1.0904 pol 1.0815 rf 0.0882 acc 70.8% | 13 it/s
step  13600 | lr 2.93e-04 | loss 1.0838 pol 1.0746 rf 0.0920 acc 71.2% | 13 it/s
step  13700 | lr 2.93e-04 | loss 1.1061 pol 1.0987 rf 0.0739 acc 69.1% | 13 it/s
step  13800 | lr 2.93e-04 | loss 1.1197 pol 1.1117 rf 0.0804 acc 68.3% | 13 it/s
step  13900 | lr 2.93e-04 | loss 1.1202 pol 1.1121 rf 0.0808 acc 69.2% | 13 it/s
step  14000 | lr 2.92e-04 | loss 1.1160 pol 1.1099 rf 0.0610 acc 69.2% | 13 it/s
[eval] step 14000 val_loss 1.1311 val_acc 70.0%
step  14100 | lr 2.92e-04 | loss 1.1219 pol 1.1167 rf 0.0520 acc 68.1% | 13 it/s
step  14200 | lr 2.92e-04 | loss 1.1065 pol 1.1005 rf 0.0598 acc 68.8% | 13 it/s
step  14300 | lr 2.92e-04 | loss 1.1041 pol 1.0967 rf 0.0740 acc 69.5% | 13 it/s
step  14400 | lr 2.92e-04 | loss 1.1066 pol 1.0993 rf 0.0731 acc 69.4% | 13 it/s
step  14500 | lr 2.92e-04 | loss 1.1070 pol 1.0995 rf 0.0748 acc 68.8% | 13 it/s
step  14600 | lr 2.92e-04 | loss 1.0956 pol 1.0877 rf 0.0794 acc 69.8% | 13 it/s
step  14700 | lr 2.92e-04 | loss 1.0977 pol 1.0898 rf 0.0785 acc 69.8% | 13 it/s
step  14800 | lr 2.91e-04 | loss 1.1055 pol 1.0981 rf 0.0742 acc 69.6% | 13 it/s
step  14900 | lr 2.91e-04 | loss 1.1183 pol 1.1124 rf 0.0590 acc 68.6% | 13 it/s
step  15000 | lr 2.91e-04 | loss 1.1180 pol 1.1129 rf 0.0515 acc 68.3% | 13 it/s
step  15100 | lr 2.91e-04 | loss 1.0949 pol 1.0893 rf 0.0556 acc 70.3% | 13 it/s
step  15200 | lr 2.91e-04 | loss 1.0807 pol 1.0743 rf 0.0640 acc 71.2% | 13 it/s
step  15300 | lr 2.91e-04 | loss 1.0848 pol 1.0759 rf 0.0891 acc 71.0% | 13 it/s
step  15400 | lr 2.91e-04 | loss 1.1017 pol 1.0944 rf 0.0732 acc 69.3% | 13 it/s
step  15500 | lr 2.90e-04 | loss 1.1092 pol 1.1021 rf 0.0707 acc 69.4% | 13 it/s
step  15600 | lr 2.90e-04 | loss 1.0985 pol 1.0915 rf 0.0700 acc 69.9% | 13 it/s
step  15700 | lr 2.90e-04 | loss 1.0865 pol 1.0794 rf 0.0707 acc 70.3% | 13 it/s
step  15800 | lr 2.90e-04 | loss 1.0978 pol 1.0904 rf 0.0739 acc 70.2% | 13 it/s
step  15900 | lr 2.90e-04 | loss 1.1004 pol 1.0933 rf 0.0707 acc 70.0% | 13 it/s
step  16000 | lr 2.90e-04 | loss 1.0975 pol 1.0907 rf 0.0684 acc 70.6% | 13 it/s
[eval] step 16000 val_loss 1.1033 val_acc 71.0%
step  16100 | lr 2.90e-04 | loss 1.1051 pol 1.0981 rf 0.0701 acc 69.7% | 13 it/s
step  16200 | lr 2.89e-04 | loss 1.1066 pol 1.0992 rf 0.0744 acc 68.9% | 13 it/s
